threshold,score,recall_melanoma,precision_melanoma,f1_melanoma,recall_macro,f1_macro,accuracy
0.59,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.6,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.61,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.62,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.63,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.64,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.65,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.66,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.67,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.68,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.69,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.7,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.71,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.72,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.73,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.74,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.75,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.76,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.77,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.78,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.79,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.8,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.81,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.82,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.83,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.84,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.85,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.86,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.87,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.88,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.89,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.9,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
